型号,机号,传动方式,主轴转速,流量,全压,电机型号,功率
4-72,2.8,A,2900,1131,994,Y90S-2,1.5
4-72,2.8,A,2900,1310,966,Y90S-2,1.5
4-72,2.8,A,2900,1480,933,Y90S-2,1.5
4-72,2.8,A,2900,1659,887,Y90S-2,1.5
4-72,2.8,A,2900,1828,835,Y90S-2,1.5
4-72,2.8,A,2900,2007,770,Y90S-2,1.5
4-72,2.8,A,2900,2177,702,Y90S-2,1.5
4-72,2.8,A,2900,2356,606,Y90S-2,1.5
4-72,3.2,A,2900,1688,1300,Y90L-2,1.5
4-72,3.2,A,2900,1955,1263,Y90L-2,2.2
4-72,3.2,A,2900,2209,1220,Y90L-2,2.2
4-72,3.2,A,2900,2476,1160,Y90L-2,2.2
4-72,3.2,A,2900,2729,1091,Y90L-2,2.2
4-72,3.2,A,2900,2996,1006,Y90L-2,2.2
4-72,3.2,A,2900,3250,918,Y90L-2,2.2
4-72,3.2,A,2900,3517,792,Y90L-2,2.2
4-72,3.2,A,1450,844,324,Y90S-4,1.1
4-72,3.2,A,1450,978,315,Y90S-4,1.1
4-72,3.2,A,1450,1104,304,Y90S-4,1.1
4-72,3.2,A,1450,1238,289,Y90S-4,1.1
4-72,3.2,A,1450,1365,272,Y90S-4,1.1
4-72,3.2,A,1450,1498,251,Y90S-4,1.1
4-72,3.2,A,1450,1625,229,Y90S-4,1.1
4-72,3.2,A,1450,1758,198,Y90S-4,1.1
4-72,3.6,A,2900,2664,1578,Y100L-2,3
4-72,3.6,A,2900,3045,1531,Y100L-2,3
4-72,3.6,A,2900,3405,1481,Y100L-2,3
4-72,3.6,A,2900,3786,1419,Y100L-2,3
4-72,3.6,A,2900,4146,1343,Y100L-2,3
4-72,3.6,A,2900,4527,1256,Y100L-2,3
4-72,3.6,A,2900,4887,1144,Y100L-2,3
4-72,3.6,A,2900,5268,989,Y100L-2,3
4-72,3.6,A,1450,1332,393,Y90S-4,1.1
4-72,3.6,A,1450,1522,381,Y90S-4,1.1
4-72,3.6,A,1450,1703,369,Y90S-4,1.1
4-72,3.6,A,1450,1893,353,Y90S-4,1.1
4-72,3.6,A,1450,2073,335,Y90S-4,1.1
4-72,3.6,A,1450,2263,313,Y90S-4,1.1
4-72,3.6,A,1450,2444,285,Y90S-4,1.1
4-72,3.6,A,1450,2634,247,Y90S-4,1.1
4-72,4,A,2900,4012,2014,Y132S1-2,5.5
4-72,4,A,2900,4506,1969,Y132S1-2,5.5
4-72,4,A,2900,4973,1915,Y132S1-2,5.5
4-72,4,A,2900,5468,1830,Y132S1-2,5.5
4-72,4,A,2900,5962,1723,Y132S1-2,5.5
4-72,4,A,2900,6457,1606,Y132S1-2,5.5
4-72,4,A,2900,6924,1459,Y132S1-2,5.5
4-72,4,A,2900,7419,1320,Y132S1-2,5.5
4-72,4,A,1450,2006,501,Y90S-4,1.1
4-72,4,A,1450,2253,490,Y90S-4,1.1
4-72,4,A,1450,2487,476,Y90S-4,1.1
4-72,4,A,1450,2734,455,Y90S-4,1.1
4-72,4,A,1450,2981,429,Y90S-4,1.1
4-72,4,A,1450,3228,400,Y90S-4,1.1
4-72,4,A,1450,3462,363,Y90S-4,1.1
4-72,4,A,1450,3709,329,Y90S-4,1.1
4-72,4.5,A,2900,5712,2554,Y132S2-2,7.5
4-72,4.5,A,2900,6416,2497,Y132S2-2,7.5
4-72,4.5,A,2900,7081,2428,Y132S2-2,7.5
4-72,4.5,A,2900,7785,2320,Y132S2-2,7.5
4-72,4.5,A,2900,8489,2184,Y132S2-2,7.5
4-72,4.5,A,2900,9194,2036,Y132S2-2,7.5
4-72,4.5,A,2900,9859,1849,Y132S2-2,7.5
4-72,4.5,A,2900,10562,1673,Y132S2-2,7.5
4-72,4.5,A,1450,2856,634,Y90S-4,1.1
4-72,4.5,A,1450,3208,620,Y90S-4,1.1
4-72,4.5,A,1450,3540,603,Y90S-4,1.1
4-72,4.5,A,1450,3893,577,Y90S-4,1.1
4-72,4.5,A,1450,4245,543,Y90S-4,1.1
4-72,4.5,A,1450,4597,506,Y90S-4,1.1
4-72,4.5,A,1450,4929,460,Y90S-4,1.1
4-72,4.5,A,1450,5281,416,Y90S-4,1.1
4-72,5,A,2900,7728,3178,Y160M2-2,15
4-72,5,A,2900,8855,3145,Y160M2-2,15
4-72,5,A,2900,9928,3074,Y160M2-2,15
4-72,5,A,2900,11054,2962,Y160M2-2,15
4-72,5,A,2900,12128,2792,Y160M2-2,15
4-72,5,A,2900,13255,2567,Y160M2-2,15
4-72,5,A,2900,14328,2335,Y160M2-2,15
4-72,5,A,2900,15455,2019,Y160M2-2,15
4-72,5,A,1450,3864,790,Y100L1-4,2.2
4-72,5,A,1450,4427,780,Y100L1-4,2.2
4-72,5,A,1450,4964,762,Y100L1-4,2.2
4-72,5,A,1450,5527,735,Y100L1-4,2.2
4-72,5,A,1450,6064,693,Y100L1-4,2.2
